meter_id,unit,tenant_name,reading,timestamp,month
Three/NEO-EM-63645614,,FIGARI Podium (Signage),7691.0,2025-08-26 13:39:00,9.0
Three/NEO-EM-32906998,,QBE (Signage),453.0,2025-08-26 10:21:00,9.0
Three/NEO-EM-14864628,7-1,LBS Digital Infrastructure Corp - LDIC. (Lighting & Power),184123.0,2025-08-26 10:10:00,9.0
Three/NEO-EM-14864257,7-1,LBS Digital Infrastructure Corp. - LDIC (ACCU),203479.0,2025-08-26 10:18:00,9.0
Three/NEO-EM-28693813,7-2,Red Fu (Lighting & Power),1015441.0,2025-08-26 10:10:00,9.0
Three/NEO-EM-14864627,7-2,Red Fu  (ACCU),104516.0,2025-08-26 10:18:00,9.0
Three/NEO-EM-16870422,8-1,"Adventure International Tours, Inc. (AITI) (Lighting & Power)",229187.0,2025-08-26 10:08:00,9.0
Three/NEO-EM-28286864,8-1,"Adventure International Tours, Inc. (AITI) (Lighting & Power)",177264.0,2025-08-26 10:18:00,9.0
Three/NEO-EM-16871198,8-2,"Adventure International Tours, Inc. (AITI) (Lighting & Power)",33385.0,2025-08-26 10:08:00,9.0
Three/NEO-EM-16871295,8-2,"Adventure International Tours, Inc. (AITI) (Lighting & Power)",121315.0,2025-08-26 10:17:00,9.0
Three/NEO-EM-16870424,9-1,Figari (Lighting & Power),218956.0,2025-08-26 10:06:00,9.0
Three/NEO-EM-16871297,9-1,Figari (ACCU),93297.0,2025-08-26 10:17:00,9.0
Three/NEO-EM-16870423,9-2,Figari (Lighting & Power),219497.0,2025-08-26 10:06:00,9.0
Three/NEO-EM-17873386,9-2,Figari (ACCU),412650.0,2025-08-26 10:17:00,9.0
Three/NEO-EM-15867790,10-1,TDG (Lighting & Power),39341.0,2025-08-26 10:03:00,9.0
Three/NEO-EM-16871303,10-1,TDG (ACCU),141966.0,2025-08-26 10:17:00,9.0
Three/NEO-EM-15867792,10-2,Vacant (Lighting & Power),49182.0,2025-08-26 10:03:00,9.0
Three/NEO-EM-74686521,10-2,Vacant (ACCU),1565.0,2025-08-26 10:17:00,9.0
Three/NEO-EM-15867791,11-2,Vacant (Lighting & Power),99706.0,2025-08-26 10:01:00,9.0
Three/NEO-EM-16871305,11-2,Vacant (ACCU),85153.0,2025-08-26 10:16:00,9.0
Three/NEO-EM-50017872,11-1,Vacant (Lighting & Power),15603.0,2025-08-26 10:01:00,9.0
Three/NEO-EM-16870419,11-1,Vacant (ACCU),23742.0,2025-08-26 10:16:00,9.0
Three/NEO-EM-17873388,12-1,Vacant (Lighting & Power),61088.0,2025-08-26 09:59:00,9.0
Three/NEO-EM-50017871,12-1,Vacant (ACCU),91117.0,2025-08-26 10:16:00,9.0
Three/NEO-EM-50017870,12-2,Vacant (Lighting & Power),6080.0,2025-08-26 09:59:00,9.0
Three/NEO-EM-08851932,12-2,Vacant (ACCU),51136.0,2025-08-26 10:16:00,9.0
Three/NEO-EM-21000454,14-1&2,Regus (Lighting & Power),34498.0,2025-08-26 09:56:00,9.0
