meter_id_recording,meter_suffix,meter_id_str,meter_ref,m_id,description,tenant_name_recording,tenant_name_query,unit_number,reading,timestamp,month,tenant_id,unit_id
Three/NEO-EM-17759111,17759111,17759111,17759111,53,Lighting & Power,Tyler Technologies Philippines (Lighting & Power),Tyler Technologies Philippines,NEO3_1802,135978.0,2025-08-26 09:49:00,9.0,22,46
Three/NEO-EM-16871296,16871296,16871296,16871296,63,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1701,84230.0,2025-08-26 09:15:00,9.0,22,55
Three/NEO-EM-28693827,28693827,28693827,28693827,64,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1702,139098.0,2025-08-26 09:16:00,9.0,22,56
Three/NEO-EM-14864259,14864259,14864259,14864259,65,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1801,202572.0,2025-08-26 09:16:00,9.0,22,47
Three/NEO-EM-16872661,16872661,16872661,16872661,66,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1802,197840.0,2025-08-26 09:16:00,9.0,22,46
Three/NEO-EM-17759112,17759112,17759112,17759112,55,Hc Consumer Finance Phillippines Inc Lighting & Power,Hc Consumer Finance Phillippines Inc (Lighting & Power),Hc Consumer Finance Philippines Inc,NEO3_1901,226431.0,2025-08-26 09:43:00,9.0,13,48
Three/NEO-EM-28930910,28930910,28930910,28930910,67,Hc Consumer Finance Phillippines Inc Accu,Hc Consumer Finance Phillippines Inc (Accu),Hc Consumer Finance Philippines Inc,NEO3_1901,89137.0,2025-08-26 09:17:00,9.0,13,48
Three/NEO-EM-16870425,16870425,16870425,16870425,68,Hc Consumer Finance Phillippines Inc Accu,Hc Consumer Finance Phillippines Inc (Accu),Hc Consumer Finance Philippines Inc,NEO3_1902,247065.0,2025-08-26 09:17:00,9.0,13,57
Three/NEO-EM-10712524,10712524,10712524,10712524,56,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_2001,155226.0,2025-08-26 09:41:00,9.0,12,49
Three/NEO-EM-23549655,23549655,23549655,23549655,69,Accu,Figari (Accu),Figari,NEO3_2001,147035.0,2025-08-26 09:17:00,9.0,12,49
Three/NEO-EM-14864298,14864298,14864298,14864298,70,Accu,Figari (Accu),Figari,NEO3_2002,191967.0,2025-08-26 09:18:00,9.0,12,58
Three/NEO-EM-21384862,21384862,21384862,21384862,57,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_2101,584518.0,2025-08-26 09:38:00,9.0,12,50
Three/NEO-EM-28460987,28460987,28460987,28460987,71,Accu,Figari (Accu),Figari,NEO3_2101,151618.0,2025-08-26 09:18:00,9.0,12,50
Three/NEO-EM-16871323,16871323,16871323,16871323,72,Accu,Figari (Accu),Figari,NEO3_2102,138699.0,2025-08-26 09:18:00,9.0,12,59
Three/NEO-EM-28286899,28286899,28286899,28286899,73,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2201,298378.0,2025-08-26 09:19:00,9.0,16,51
Three/NEO-EM-21393124,21393124,21393124,21393124,59,Lighting Power,Qbe Group Shared Services Ltd (Lighting Power),Qbe Group Shared Services Ltd,NEO3_2301,234657.0,2025-08-26 09:29:00,9.0,16,52
Three/NEO-EM-16871325,16871325,16871325,16871325,75,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2301,188753.0,2025-08-26 09:19:00,9.0,16,52
Three/NEO-EM-16871266,16871266,16871266,16871266,76,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2302,357164.0,2025-08-26 09:20:00,9.0,16,61
Three/NEO-EM-59072030,59072030,59072030,59072030,60,Lighting Power,Qbe Group Shared Services Ltd (Lighting Power),Qbe Group Shared Services Ltd,NEO3_2401,154848.0,2025-08-26 09:25:00,9.0,16,53
Three/NEO-EM-14864297,14864297,14864297,14864297,77,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2401,284796.0,2025-08-26 09:20:00,9.0,16,53
Three/NEO-EM-16871267,16871267,16871267,16871267,62,Wall Mounted Accu,Qbe Group Shared Services Ltd (Wall Mounted Accu),Qbe Group Shared Services Ltd,NEO3_1602,61224.0,2025-08-26 09:15:00,9.0,16,54
