Date,Consumption [kW],ECB 2301 150A [kW],ECB 2201 150A [kW],EBC 2401 150A [kW]
2025-07-30 15:00:00,0,"10,52","10,934","11,057"
2025-07-30 14:55:00,0,"10,655","11,242","11,232"
2025-07-30 14:50:00,0,"10,711","11,045","10,974"
2025-07-30 14:45:00,0,"10,357","10,829","11,618"
2025-07-30 14:40:00,0,"10,762","10,951","10,889"
2025-07-30 14:35:00,0,"11,19","12,031","10,877"
2025-07-30 14:30:00,0,"11,927","11,288","11,218"
2025-07-30 14:25:00,0,"12,018","11,318","11,12"
2025-07-30 14:20:00,0,"10,662","11,107","11,26"
2025-07-30 14:15:00,0,"10,648","11,623","10,876"
2025-07-30 14:10:00,0,"11,179","11,365","11,255"
2025-07-30 14:05:00,0,"11,224","11,676","11,12"
2025-07-30 14:00:00,0,"11,474","11,116","11,142"
2025-07-30 13:55:00,0,"10,762","11,07","11,492"
2025-07-30 13:50:00,0,"10,698","10,943","11,524"
2025-07-30 13:45:00,0,"11,317","10,949","11,274"
2025-07-30 13:40:00,0,"11,748","11,233","11,392"
2025-07-30 13:35:00,0,"11,647","12,064","11,934"
2025-07-30 13:30:00,0,"10,63","10,878","11,255"
2025-07-30 13:25:00,0,"10,762","10,664","11,063"
2025-07-30 13:20:00,0,"10,768","10,829","11,453"
2025-07-30 13:15:00,0,"10,98","11,052","11,507"
2025-07-30 13:10:00,0,"10,94","11,244","12,004"
2025-07-30 13:05:00,0,"11,503","11,17","11,377"
2025-07-30 13:00:00,0,"10,8","10,846","11,808"
2025-07-30 12:55:00,0,"10,572","10,877","11,837"
2025-07-30 12:50:00,0,"11,299","11,196","11,207"
2025-07-30 12:45:00,0,"11,574","10,912","11,357"
2025-07-30 12:40:00,0,"11,215","11,79","11,468"
2025-07-30 12:35:00,0,"11,14","10,802","11,952"
2025-07-30 12:30:00,0,"11,146","11,37","11,924"
2025-07-30 12:25:00,0,"10,954","11,334","11,401"
2025-07-30 12:20:00,0,"10,822","10,973","11,515"
2025-07-30 12:15:00,0,"11,48","10,666","11,5"
2025-07-30 12:10:00,0,"12,011","10,614","11,947"
2025-07-30 12:05:00,0,"12,305","11,713","12,193"
