Date,Consumption [kW],ECB 1801 150A [kW],ECB 1901 [kW]
2025-07-30 17:05:00,0,"10,77","12,115"
2025-07-30 17:00:00,0,"10,812","12,865"
2025-07-30 16:55:00,0,"10,897","13,242"
2025-07-30 16:50:00,0,"10,918","13,616"
2025-07-30 16:45:00,0,"10,71","13,933"
2025-07-30 16:40:00,0,"10,716","13,847"
2025-07-30 16:35:00,0,"10,675","14,425"
2025-07-30 16:30:00,0,"10,654","13,823"
2025-07-30 16:25:00,0,"10,879","13,285"
2025-07-30 16:20:00,0,"10,798","13,732"
2025-07-30 16:15:00,0,"10,774","15,289"
2025-07-30 16:10:00,0,"10,697","15,053"
2025-07-30 16:05:00,0,"10,788","14,832"
2025-07-30 16:00:00,0,"10,711","15,582"
2025-07-30 15:55:00,0,"10,748","13,932"
2025-07-30 15:50:00,0,"10,738","14,184"
2025-07-30 15:45:00,0,"10,836","13,597"
2025-07-30 15:40:00,0,"10,777","14,513"
2025-07-30 15:35:00,0,"10,73","16,09"
2025-07-30 15:30:00,0,"10,853","15,246"
2025-07-30 15:25:00,0,"11,43","15,743"
2025-07-30 15:20:00,0,"11,504","13,332"
2025-07-30 15:15:00,0,"11,536","13,262"
2025-07-30 15:10:00,0,"11,6","14,171"
2025-07-30 15:05:00,0,"11,602","14,864"
2025-07-30 15:00:00,0,"11,928","15,869"
2025-07-30 14:55:00,0,"11,626","14,218"
2025-07-30 14:50:00,0,"11,646","13,576"
2025-07-30 14:45:00,0,"11,659","13,658"
2025-07-30 14:40:00,0,"11,536","14,822"
2025-07-30 14:35:00,0,"11,651","15,682"
2025-07-30 14:30:00,0,"11,771","13,859"
2025-07-30 14:25:00,0,"11,941","13,699"
2025-07-30 14:20:00,0,"12,092","13,394"
2025-07-30 14:15:00,0,"11,599","14,477"
2025-07-30 14:10:00,0,"11,137","16,151"
2025-07-30 14:05:00,0,"10,992","14,731"
2025-07-30 14:00:00,0,"10,733","14,158"
2025-07-30 13:55:00,0,"10,804","13,44"
2025-07-30 13:50:00,0,"10,738","15,32"
2025-07-30 13:45:00,0,"10,858","16,277"
2025-07-30 13:40:00,0,"10,841","13,612"
2025-07-30 13:35:00,0,"10,667","13,631"
2025-07-30 13:30:00,0,"10,562","14,294"
2025-07-30 13:25:00,0,"10,592","15,721"
2025-07-30 13:20:00,0,"10,619","14,028"
2025-07-30 13:15:00,0,"10,757","13,355"
2025-07-30 13:10:00,0,"10,642","13,222"
2025-07-30 13:05:00,0,"10,834","14,723"
2025-07-30 13:00:00,0,"10,774","13,892"
2025-07-30 12:55:00,0,"10,799","12,173"
2025-07-30 12:50:00,0,"10,955","11,726"
2025-07-30 12:45:00,0,"10,964","11,851"
2025-07-30 12:40:00,0,"10,928","13,945"
2025-07-30 12:35:00,0,"10,847","13,49"
2025-07-30 12:30:00,0,"11,249","13,751"
2025-07-30 12:25:00,0,"10,776","11,632"
2025-07-30 12:20:00,0,"10,709","12,336"
2025-07-30 12:15:00,0,"10,746","13,291"
2025-07-30 12:10:00,0,"10,804","14,928"
2025-07-30 12:05:00,0,"11,496","13,318"
2025-07-30 12:00:00,0,"11,182","14,008"
2025-07-30 11:55:00,0,"10,924","15,304"
