Date,Consumption [kW],ECB 225 -  21F [kW],ECB 20F [kW]
2025-07-30 01:45:00,0,"9,322","5,75"
2025-07-30 01:40:00,0,"9,139","5,738"
2025-07-30 01:35:00,0,"9,174","5,825"
2025-07-30 01:30:00,0,"9,424","8,28"
2025-07-30 01:25:00,0,"9,424","8,832"
2025-07-30 01:20:00,0,"9,454","6,947"
2025-07-30 01:15:00,0,"9,26","5,833"
2025-07-30 01:10:00,0,"9,068","5,731"
2025-07-30 01:05:00,0,"9,29","5,795"
2025-07-30 01:00:00,0,"9,392","8,74"
2025-07-30 00:55:00,0,"9,625","9,008"
2025-07-30 00:50:00,0,"9,266","7,433"
2025-07-30 00:45:00,0,"9,528","5,606"
2025-07-30 00:40:00,0,"9,833","5,624"
2025-07-30 00:35:00,0,"9,86","6,121"
2025-07-30 00:30:00,0,"10,027","12,112"
2025-07-30 00:25:00,0,"9,835","6,179"
2025-07-30 00:20:00,0,"9,878","5,65"
2025-07-30 00:15:00,0,"9,956","5,562"
2025-07-30 00:10:00,0,"9,757","6,694"
2025-07-30 00:05:00,0,"9,786","8,716"
2025-07-30 00:00:00,0,"10,115","9,252"
2025-07-29 23:55:00,0,"9,98","5,845"
2025-07-29 23:50:00,0,"10,391","5,996"
2025-07-29 23:45:00,0,"10,465","5,834"
2025-07-29 23:40:00,0,"10,296","9,904"
2025-07-29 23:35:00,0,"10,414","8,652"
2025-07-29 23:30:00,0,"10,459","5,744"
2025-07-29 23:25:00,0,"10,298","5,576"
2025-07-29 23:20:00,0,"10,355","5,759"
2025-07-29 23:15:00,0,"10,918","7,994"
2025-07-29 23:10:00,0,"10,643","8,411"
2025-07-29 23:05:00,0,"11,17","9,122"
2025-07-29 23:00:00,0,"10,836","7,536"
2025-07-29 22:55:00,0,"10,734","5,827"
2025-07-29 22:50:00,0,"10,516","5,726"
2025-07-29 22:45:00,0,"10,676","5,82"
2025-07-29 22:40:00,0,"10,57","12,755"
2025-07-29 22:35:00,0,"11,114","6,494"
2025-07-29 22:30:00,0,"10,855","5,599"
2025-07-29 22:25:00,0,"9,673","5,695"
2025-07-29 22:20:00,0,"9,422","6,122"
2025-07-29 22:15:00,0,"9,931","8,358"
2025-07-29 22:10:00,0,"10,334","9,151"
2025-07-29 22:05:00,0,"10,333","5,922"
2025-07-29 22:00:00,0,"9,932","5,906"
2025-07-29 21:55:00,0,"9,715","5,839"
2025-07-29 21:50:00,0,"9,913","6,691"
2025-07-29 21:45:00,0,"10,204","8,554"
2025-07-29 21:40:00,0,"10,048","9,232"
2025-07-29 21:35:00,0,"9,415","5,89"
2025-07-29 21:30:00,0,"9,455","5,783"
2025-07-29 21:25:00,0,"9,659","5,748"
2025-07-29 21:20:00,0,"9,635","7,975"
2025-07-29 21:15:00,0,"9,976","10,952"
2025-07-29 21:10:00,0,"10,018","5,726"
2025-07-29 21:05:00,0,"9,533","5,708"
2025-07-29 21:00:00,0,"9,983","5,701"
2025-07-29 20:55:00,0,"10,997","7,841"
2025-07-29 20:50:00,0,"11,516","8,6"
2025-07-29 20:45:00,0,"10,922","7,825"
2025-07-29 20:40:00,0,"10,963","5,849"
2025-07-29 20:35:00,0,"10,814","5,591"
2025-07-29 20:30:00,0,"10,88","5,675"
2025-07-29 20:25:00,0,"10,956","8,101"
2025-07-29 20:20:00,0,"11,423","8,66"
2025-07-29 20:15:00,0,"11,183","7,934"
2025-07-29 20:10:00,0,"11,258","5,686"
2025-07-29 20:05:00,0,"11,123","5,567"
2025-07-29 20:00:00,0,"11,105","5,81"
2025-07-29 19:55:00,0,"11,316","10,475"
2025-07-29 19:50:00,0,"11,666","8,574"
2025-07-29 19:45:00,0,"11,509","6,024"
2025-07-29 19:40:00,0,"11,26","5,909"
2025-07-29 19:35:00,0,"11,138","5,686"
2025-07-29 19:30:00,0,"11,401","9,268"
2025-07-29 19:25:00,0,"11,56","9,709"
2025-07-29 19:20:00,0,"11,749","5,785"
2025-07-29 19:15:00,0,"11,92","5,737"
2025-07-29 19:10:00,0,"11,675","5,784"
2025-07-29 19:05:00,0,"11,532","9,688"
2025-07-29 19:00:00,0,"11,92","8,983"
2025-07-29 18:55:00,0,"12,737","5,656"
2025-07-29 18:50:00,0,"12,12","5,756"
2025-07-29 18:45:00,0,"12,097","5,784"
2025-07-29 18:40:00,0,"12,443","8,174"
2025-07-29 18:35:00,0,"12,509","9,028"
2025-07-29 18:30:00,0,"12,488","7,841"
2025-07-29 18:25:00,0,"12,234","5,821"
2025-07-29 18:20:00,0,"12,282","5,804"
2025-07-29 18:15:00,0,"12,607","6,209"
2025-07-29 18:10:00,0,"12,846","12,28"
2025-07-29 18:05:00,0,"12,864","7,199"
2025-07-29 18:00:00,0,"12,654","6,558"
2025-07-29 17:55:00,0,"12,414","6,598"
2025-07-29 17:50:00,0,"12,446","7,601"
2025-07-29 17:45:00,0,"12,974","9,791"
2025-07-29 17:40:00,0,"12,728","12,281"
2025-07-29 17:35:00,0,"12,413","9,892"
2025-07-29 17:30:00,0,"12,368","9,787"
2025-07-29 17:25:00,0,"11,992","9,764"
2025-07-29 17:20:00,0,"12,406","13,927"
2025-07-29 17:15:00,0,"12,584","12,673"
2025-07-29 17:10:00,0,"12,5","9,758"
2025-07-29 17:05:00,0,"12,478","9,832"
2025-07-29 17:00:00,0,"12,336","9,874"
2025-07-29 16:55:00,0,"12,79","13,052"
2025-07-29 16:50:00,0,"12,625","13,891"
2025-07-29 16:45:00,0,"12,374","13,256"
2025-07-29 16:40:00,0,"12,323","12,623"
2025-07-29 16:35:00,0,"12,715","13,086"
2025-07-29 16:30:00,0,"12,593","13,416"
2025-07-29 16:25:00,0,"12,738","16,009"
2025-07-29 16:20:00,0,"12,823","16,85"
2025-07-29 16:15:00,0,"12,371","13,639"
2025-07-29 16:10:00,0,"12,496","13,452"
2025-07-29 16:05:00,0,"12,535","13,675"
2025-07-29 16:00:00,0,"13,002","16,478"
2025-07-29 15:55:00,0,"13,254","19,93"
2025-07-29 15:50:00,0,"13,15","14,473"
2025-07-29 15:45:00,0,"13,141","14,504"
2025-07-29 15:40:00,0,"12,827","15,016"
2025-07-29 15:35:00,0,"13,237","20,987"
2025-07-29 15:30:00,0,"12,983","20,395"
2025-07-29 15:25:00,0,"13,159","17,802"
2025-07-29 15:20:00,0,"13,426","16,327"
2025-07-29 15:15:00,0,"13,333","16,654"
2025-07-29 15:10:00,0,"13,524","18,354"
2025-07-29 15:05:00,0,"13,393","20,896"
2025-07-29 15:00:00,0,"13,926","19,082"
2025-07-29 14:55:00,0,"13,556","17,357"
2025-07-29 14:50:00,0,"13,681","18,832"
2025-07-29 14:45:00,0,"14,357","18,899"
2025-07-29 14:40:00,0,"13,98","20,722"
2025-07-29 14:35:00,0,"13,65","20,162"
2025-07-29 14:30:00,0,"13,542","20,419"
2025-07-29 14:25:00,0,"13,852","19,669"
2025-07-29 14:20:00,0,"13,975","19,724"
2025-07-29 14:15:00,0,"13,82","18,749"
2025-07-29 14:10:00,0,"14,244","17,286"
2025-07-29 14:05:00,0,"13,681","21,032"
2025-07-29 14:00:00,0,"13,484","22,33"
2025-07-29 13:55:00,0,"13,468","17,471"
2025-07-29 13:50:00,0,"13,624","19,964"
2025-07-29 13:45:00,0,"14,998","17,767"
2025-07-29 13:40:00,0,"13,878","17,124"
2025-07-29 13:35:00,0,"13,792","18,756"
2025-07-29 13:30:00,0,"13,516","21,725"
2025-07-29 13:25:00,0,"13,549","21,684"
2025-07-29 13:20:00,0,"13,774","18,456"
2025-07-29 13:15:00,0,"13,234","19,46"
2025-07-29 13:10:00,0,"14,041","19,691"
2025-07-29 13:05:00,0,"13,96","23,093"
2025-07-29 13:00:00,0,"13,65","21,377"
2025-07-29 12:55:00,0,"13,112","19,732"
2025-07-29 12:50:00,0,"13,195","21,884"
2025-07-29 12:45:00,0,"13,194","18,901"
2025-07-29 12:40:00,0,"12,968","18,196"
2025-07-29 12:35:00,0,"13,327","19,464"
2025-07-29 12:30:00,0,"12,864","16,666"
2025-07-29 12:25:00,0,"13,232","19,434"
2025-07-29 12:20:00,0,"12,913","21,295"
2025-07-29 12:15:00,0,"12,898","20,384"
2025-07-29 12:10:00,0,"12,886","20,492"
2025-07-29 12:05:00,0,"12,949","20,594"
2025-07-29 12:00:00,0,"12,823","19,222"
2025-07-29 11:55:00,0,"12,959","19,506"
2025-07-29 11:50:00,0,"13,493","18,941"
2025-07-29 11:45:00,0,"13,62","20,149"
